id,fecha,monto,canal,region
1,2024-01-02,2345.0,Web,Norte
2,2024-01-03,1980.0,App,Centro
3,2024-01-04,4150.0,Tienda,Sur
4,2024-01-05,3120.0,Web,Este
5,2024-01-06,2200.0,App,Norte
6,2024-01-07,4850.0,Tienda,Sur
7,2024-01-08,3700.0,Web,Centro
8,2024-01-09,4100.0,App,Este
9,2024-01-10,1600.0,Tienda,Norte
10,2024-01-11,2990.0,Web,Sur
12,2024-01-13,2750.0,App,Centro
13,2024-01-14,1000.0,Web,Norte
14,2024-01-15,3200.0,Tienda,Este
16,2024-01-17,2450.0,App,Norte
17,2024-01-18,2300.0,Tienda,Centro
18,2024-01-19,2980.0,Web,Este
19,2024-01-20,3700.0,App,Sur
21,2024-01-22,2780.0,Tienda,Sur
22,2024-01-23,1400.0,App,Centro
23,2024-01-24,2900.0,Web,Este
24,2024-01-25,1900.0,Tienda,Norte
26,2024-01-27,3400.0,Web,Centro
27,2024-01-28,4150.0,Tienda,Este
28,2024-01-29,3600.0,App,Norte
29,2024-01-30,2250.0,Web,Sur
31,2024-02-01,2100.0,Tienda,Este
32,2024-02-02,3150.0,App,Norte
33,2024-02-03,4050.0,Web,Sur
34,2024-02-04,3850.0,Tienda,Centro
36,2024-02-06,2450.0,Web,Norte
37,2024-02-07,3800.0,Tienda,Sur
38,2024-02-08,1350.0,App,Centro
39,2024-02-09,4100.0,Web,Este
41,2024-02-11,2600.0,App,Sur
42,2024-02-12,1850.0,Web,Centro
43,2024-02-13,3300.0,Tienda,Este
44,2024-02-14,1400.0,App,Norte
45,2024-02-15,4800.0,Web,Sur
46,2024-02-16,1900.0,Tienda,Centro
47,2024-02-17,2300.0,App,Este
48,2024-02-18,1200.0,Web,Norte
49,2024-02-19,3050.0,Tienda,Sur
51,2024-02-21,3200.0,Web,Este
52,2024-02-22,2150.0,Tienda,Norte
53,2024-02-23,2800.0,App,Sur
54,2024-02-24,3900.0,Web,Centro
56,2024-02-26,1300.0,App,Norte
57,2024-02-27,3400.0,Web,Sur
58,2024-02-28,1100.0,Tienda,Centro
59,2024-02-29,2300.0,App,Este
61,2024-03-02,4400.0,Tienda,Sur
62,2024-03-03,1750.0,App,Centro
63,2024-03-04,3950.0,Web,Este
64,2024-03-05,2150.0,Tienda,Norte
66,2024-03-07,2850.0,Web,Centro
67,2024-03-08,3100.0,Tienda,Este
68,2024-03-09,1450.0,App,Norte
69,2024-03-10,1800.0,Web,Sur
71,2024-03-12,2000.0,Tienda,Este
72,2024-03-13,3850.0,App,Norte
73,2024-03-14,1700.0,Web,Sur
74,2024-03-15,4400.0,Tienda,Centro
75,2024-03-16,1500.0,App,Este
77,2024-03-18,3600.0,Tienda,Sur
78,2024-03-19,2100.0,App,Centro
79,2024-03-20,2550.0,Web,Este
81,2024-03-22,3200.0,App,Sur
82,2024-03-23,2250.0,Web,Centro
83,2024-03-24,3950.0,Tienda,Este
84,2024-03-25,1150.0,App,Norte
85,2024-03-26,4850.0,Web,Sur
86,2024-03-27,2150.0,Tienda,Centro
87,2024-03-28,3900.0,App,Este
88,2024-03-29,1600.0,Web,Norte
89,2024-03-30,3100.0,Tienda,Sur
91,2024-04-01,3000.0,App,Este
92,2024-04-02,1450.0,Web,Norte
93,2024-04-03,1800.0,Tienda,Sur
94,2024-04-04,4050.0,App,Centro
96,2024-04-06,3750.0,Tienda,Norte
97,2024-04-07,2050.0,App,Sur
98,2024-04-08,2550.0,Web,Centro
99,2024-04-09,1300.0,Tienda,Este
100,2024-04-10,1900.0,App,Norte
